Feature,Feature Importance
Number of Pull Request,0.07370600414078676
Number of Commit,0.0
name,0.0
email,0.0
bio,0.02857142857142856
Periodicity of Activities,0.0028985507246376717
Median Response Time,0.049275362318840575
Number of Active day,0.07619047619047618
followers,0.07743271221532091
Number of Repository,0.012008281573498935
Number of Issue,-0.0024844720496894233
tag,0.00828157349896479
following,-0.001656314699792949
login,0.0028985507246376495
tfidf_similarity,0.0
Number of Activity,0.08405797101449275
Number of Connection Account,0.002484472049689446
