Feature,Feature Importance
Periodicity of Activities,0.09523809523809519
Median Response Time,0.004968944099378869
Number of Active day,0.004968944099378825
Number of Commit,0.020703933747411994
followers,0.03685300207039335
following,0.0012422360248446785
Number of Repository,0.0012422360248446785
Number of Activity,0.046790890269151085
email,0.004554865424430621
name,0.02318840579710142
Number of Pull Request,0.005383022774327095
Number of Connection Account,0.0016563146997929268
bio,0.0008281573498964745
Number of Issue,0.0
tag,-2.2204460492503132e-17
tfidf_similarity,0.010351966873705964
login,0.0
