Feature,Feature Importance
name,0.07329192546583845
email,0.0
bio,0.0
Median Response Time,0.0004140786749482261
Number of Repository,0.0041407867494823725
tag,0.004554865424430621
Periodicity of Activities,0.018633540372670777
followers,0.056314699792960624
Number of Commit,0.01283643892339541
Number of Issue,0.008695652173913016
Number of Active day,0.012422360248447162
Number of Pull Request,0.00414078674948235
Number of Activity,0.004554865424430621
following,0.009109730848861242
tfidf_similarity,0.0041407867494823725
login,0.07577639751552792
Number of Connection Account,0.0033126293995858758
