Feature,Feature Importance
Number of Activity,0.0865424430641822
Number of Commit,0.0037267080745341684
Number of Repository,0.0066252587991718626
Number of Pull Request,0.02070393374741204
Number of Issue,0.037681159420289864
followers,0.0
following,0.0
Number of Connection Account,0.09730848861283647
Median Response Time,0.0
name,0.0
email,0.0
Periodicity of Activities,0.0
bio,0.0
tag,0.08985507246376812
login,0.012422360248447228
Number of Active day,0.0
tfidf_similarity,0.0020703933747411975
