Feature,Feature Importance
Number of Repository,0.06997929606625257
name,0.0
email,0.0
Periodicity of Activities,0.01118012422360246
Number of Commit,0.02318840579710142
Median Response Time,0.0041407867494823725
followers,0.02650103519668736
Number of Active day,0.06625258799171843
Number of Issue,0.04803312629399581
bio,0.009937888198757738
tag,0.0356107660455486
following,-0.0033126293995859426
Number of Pull Request,0.001656314699792949
Number of Activity,0.004968944099378892
tfidf_similarity,0.0016563146997929268
login,0.10517598343685297
Number of Connection Account,0.0041407867494823725
