,actor_id,label,predicted_label_BotHawk,predicted_label_BoDeGha,predicted_label_bothunter
0,1081405,Human,1,0,0
1,13100598,Human,1,0,1
2,22494,Human,0,1,1
3,7648032,Bot,1,0,0
4,2163522,Human,1,0,0
5,27288824,Human,0,0,0
6,5709,Human,0,0,0
7,1355668,Human,1,0,0
8,59210087,Human,0,0,0
9,5076961,Human,1,0,0
10,18280708,Human,1,0,0
11,759062,Human,0,0,0
12,29738535,Human,0,0,0
13,35039147,Human,0,0,0
14,11386439,Human,0,0,0
15,8589138,Human,1,0,0
16,3428506,Human,1,0,0
17,3162122,Human,0,0,0
18,28438021,Human,0,0,0
19,87618423,Bot,1,0,0
20,74838964,Bot,1,1,0
21,10616960,Human,1,0,0
22,16950305,Human,0,0,1
23,1353811,Human,1,0,0
24,66718300,Human,0,0,0
25,1329165,Human,1,0,0
26,74699,Human,0,0,0
27,63096193,Human,0,0,0
28,19990752,Human,0,0,0
29,69157597,Human,0,0,0
30,38534196,Human,1,0,0
31,35906997,Human,0,0,0
32,64194467,Human,0,0,0
33,56747,Human,0,1,0
34,3707860,Human,1,0,0
35,4713628,Human,1,0,0
36,1783339,Human,1,0,0
37,64280,Human,0,0,0
38,9011267,Bot,1,0,0
39,15879987,Human,0,0,0
40,26539665,Human,0,0,0
41,44722363,Bot,1,0,0
42,10598343,Human,0,0,0
43,1884287,Human,0,0,0
44,4474856,Human,0,0,0
45,1307523,Human,1,0,0
46,30396478,Human,0,0,0
47,9710256,Human,0,0,0
48,58626192,Human,0,0,0
49,5116346,Bot,1,0,0
50,142120,Human,0,0,1
51,33500389,Human,1,0,0
52,22173232,Human,0,0,0
53,229042,Human,0,0,0
54,27874591,Human,1,0,0
55,11522066,Human,0,0,1
56,69484901,Human,1,0,0
57,31819732,Human,0,0,0
58,1405982,Human,1,0,0
59,524596,Human,0,0,0
60,67270651,Human,1,0,0
61,53066066,Human,0,0,0
62,68449029,Human,0,0,0
63,458209,Human,0,0,0
64,69394951,Human,0,0,0
65,3455449,Human,0,0,0
66,6717350,Human,1,0,0
67,30030348,Human,0,0,0
68,30189103,Bot,1,0,0
69,57559326,Bot,1,0,0
70,11527185,Human,1,0,0
71,31839681,Human,1,0,0
72,3629629,Human,0,0,0
73,30238962,Human,0,0,0
74,33126,Human,0,0,0
75,8957346,Human,0,0,0
76,44680817,Human,0,0,0
77,788293,Human,0,0,0
78,3221000,Human,0,0,0
79,6303310,Human,0,0,0
80,25408780,Human,1,0,0
81,42138517,Human,1,0,0
82,8739360,Human,0,0,0
83,18568381,Human,1,0,0
84,24226219,Human,1,0,0
85,11470393,Human,0,0,0
86,67494861,Human,0,0,0
87,61192422,Human,1,0,0
88,22763678,Human,1,0,0
89,69315643,Human,1,0,0
90,13513658,Human,0,0,0
91,36574651,Human,0,0,0
92,22492406,Human,1,0,0
93,16730661,Human,1,0,0
94,12201893,Human,0,0,0
95,47844,Human,0,0,0
96,8266075,Human,0,0,0
97,12369792,Human,0,0,0
98,65566012,Human,0,0,0
99,6358735,Human,0,0,0
100,58398485,Human,1,0,0
101,41898282,Bot,1,0,0
102,75375782,Human,0,0,0
103,9460517,Human,0,0,0
104,46782860,Human,0,0,0
105,40151425,Human,1,0,0
106,5000654,Human,0,0,0
107,2496211,Human,0,0,0
108,1938389,Human,0,0,0
109,35181442,Human,0,0,0
110,1833684,Human,0,0,0
111,304265,Human,0,0,0
112,12962539,Bot,1,0,0
113,1852455,Human,0,0,0
114,49069586,Human,1,0,0
115,12112,Human,0,0,0
116,57515506,Bot,1,0,0
117,7636440,Human,0,0,0
118,1354510,Human,0,0,0
119,533180,Human,1,0,0
120,70911038,Bot,1,0,0
121,2031472,Human,0,0,0
122,195836,Human,0,0,0
123,30046214,Human,0,0,0
124,20180777,Human,1,0,0
125,38097062,Human,0,0,0
126,395821,Human,0,0,0
127,922234,Human,0,0,0
128,34417826,Human,0,0,0
129,15963992,Human,1,0,0
130,4200891,Human,0,0,0
131,2951285,Human,0,0,0
132,44401648,Human,1,0,0
133,5726497,Human,1,0,0
134,32688539,Bot,1,0,1
135,2853489,Human,1,0,0
136,32685696,Human,0,0,0
137,64952483,Human,1,0,0
138,33170633,Human,1,0,0
139,5044195,Human,0,0,0
140,25398100,Human,1,0,0
141,5637090,Human,0,0,0
142,31557639,Human,1,0,0
143,18329103,Human,1,0,0
144,13013670,Human,1,0,0
145,1616850,Human,0,0,0
146,1491826,Human,1,0,0
147,13621271,Human,0,0,0
148,1741700,Human,1,0,0
149,9599,Human,0,0,0
150,45834289,Human,1,0,0
151,2168535,Human,1,1,0
152,68645946,Human,0,0,1
153,1715217,Human,0,0,0
154,15196250,Human,0,0,0
155,28478594,Human,0,0,0
156,26902309,Human,1,0,0
157,62712893,Human,1,0,0
158,20679825,Human,0,0,0
159,1373940,Human,0,0,1
160,28275923,Human,1,1,1
161,9004309,Human,1,0,0
162,4945153,Human,1,0,0
163,77938843,Bot,1,0,0
164,18272282,Human,0,0,0
165,28653235,Human,0,0,1
166,7694,Human,0,0,0
167,47664151,Human,1,0,0
168,1321253,Human,1,0,0
169,1584813,Human,1,0,0
170,8356503,Human,1,0,0
171,10919270,Human,1,0,0
172,31049082,Human,1,0,0
173,72732935,Human,1,0,0
174,77521350,Bot,1,0,0
175,20568,Human,0,0,0
176,7287697,Human,1,0,0
177,7829907,Human,1,0,0
178,27447280,Human,0,0,0
179,5102591,Human,0,0,0
180,7101032,Human,0,0,0
181,17795845,Human,0,0,0
182,7276252,Human,1,0,0
183,204934,Human,0,0,0
184,2982335,Human,1,0,0
185,29104726,Human,0,0,0
186,1240066,Human,0,0,0
187,59575534,Human,0,0,0
188,32535494,Human,0,0,0
189,16578240,Human,0,0,0
190,227303,Human,0,0,0
191,65274619,Human,0,1,1
192,22890026,Human,0,0,0
193,12820919,Human,0,0,0
194,61057625,Human,0,0,0
195,914548,Human,1,0,1
196,14978021,Human,0,0,0
197,7190633,Human,0,0,0
198,6692083,Human,0,0,0
199,34974801,Human,1,1,1
200,9636937,Human,0,0,0
201,50076933,Human,0,0,0
202,4502793,Bot,1,0,0
203,48569085,Bot,1,0,0
204,27856297,Bot,1,0,0
205,14807290,Human,1,0,0
206,37958125,Bot,1,0,0
207,56196640,Human,0,0,1
208,32959649,Human,0,0,0
209,48645689,Human,0,0,0
210,15682954,Human,0,0,0
211,2068046,Human,1,0,0
212,66055060,Human,1,0,0
213,17517687,Human,0,0,0
214,29433710,Human,1,0,0
215,3014232,Human,0,1,0
216,50820503,Human,0,0,0
217,950517,Human,0,0,0
218,58136431,Human,0,0,0
219,1926119,Human,0,0,0
220,43839957,Human,1,0,0
221,5082246,Human,0,0,0
222,3014737,Human,0,0,0
223,72623,Human,1,0,0
224,12084677,Human,1,0,0
225,1458520,Human,0,0,0
226,30536864,Bot,1,0,0
227,3861465,Human,0,0,0
228,17905150,Human,1,0,0
229,1750815,Human,1,0,0
230,2474926,Human,0,0,0
231,71022656,Human,0,0,0
232,30538765,Bot,1,0,0
233,46012524,Human,0,0,0
234,15997951,Human,0,0,0
235,241593,Human,1,1,1
236,30537854,Bot,1,0,0
237,32856376,Bot,1,0,0
238,3242261,Human,0,1,1
239,66541802,Human,0,0,0
240,10580038,Human,1,0,0
241,22294314,Human,1,0,0
242,20452814,Human,1,0,0
243,47257959,Bot,1,0,0
244,108104,Human,1,0,0
245,1499307,Human,1,0,0
246,58056708,Human,1,0,0
247,47766566,Bot,1,1,1
248,37936606,Bot,1,0,0
249,1787040,Human,1,0,0
250,28760461,Human,1,0,0
251,3378822,Human,0,0,0
252,5003269,Human,1,0,0
253,899645,Human,0,0,0
254,3529086,Human,1,0,0
255,62288713,Human,1,0,0
256,79776344,Human,1,0,0
257,44153440,Human,1,0,0
258,59765200,Human,1,0,0
259,75433959,Bot,1,0,0
260,74814336,Human,0,0,0
261,46838874,Human,0,0,0
262,34854165,Human,0,0,0
263,7221389,Human,0,0,0
264,12148373,Human,1,0,0
265,68799469,Human,0,0,0
266,40737538,Human,0,0,0
267,27426792,Human,0,1,1
268,45287301,Human,1,1,1
269,8030069,Human,0,0,0
270,60442490,Human,1,0,0
271,46691165,Human,1,0,0
272,21034047,Human,0,0,0
273,94155176,Bot,1,0,0
274,7664655,Human,0,0,0
275,22233835,Human,1,0,0
276,20407524,Bot,1,0,0
277,30164659,Bot,1,0,0
278,34748927,Human,1,0,0
279,779321,Human,0,0,0
280,49695357,Bot,1,0,0
281,32113157,Human,0,1,0
282,211358,Human,0,0,0
283,2009948,Human,1,0,0
284,1676445,Human,0,0,0
285,10757154,Human,0,0,0
286,68613938,Human,0,0,0
287,57860916,Human,0,0,0
288,2182,Human,0,0,0
289,64729760,Bot,1,0,0
290,4343808,Human,1,0,0
291,44651202,Bot,1,0,0
292,10804999,Human,0,0,0
293,1140167,Human,0,0,0
294,61254497,Bot,1,0,0
295,53513,Human,1,0,0
296,8900205,Human,1,0,1
297,4406153,Human,0,0,0
298,30189218,Bot,1,0,0
299,74659618,Human,1,0,0
300,2378389,Human,1,0,0
301,807508,Human,0,0,0
302,42973632,Bot,1,0,0
303,17505625,Human,1,1,1
304,694745,Human,1,1,1
305,209139,Bot,1,0,0
306,6070939,Human,0,0,0
307,248741,Human,0,0,0
308,68631244,Human,0,0,0
309,53056553,Bot,1,0,0
310,4067300,Human,0,0,0
311,15467072,Bot,1,0,0
312,3625160,Human,1,0,0
313,14788991,Human,1,1,0
314,33251702,Human,1,0,0
315,6948709,Bot,1,0,0
316,26602940,Human,0,0,0
317,21261222,Human,1,0,0
318,15837671,Bot,1,0,0
319,61961028,Human,1,0,1
320,62694369,Bot,1,0,0
321,51384143,Bot,1,0,0
322,68455785,Human,0,0,0
323,7077164,Human,0,0,0
324,58020879,Bot,1,0,0
325,37886,Human,0,0,0
326,73116608,Bot,1,0,0
327,12754677,Human,0,0,0
328,46637781,Human,1,0,0
329,67127154,Human,0,0,0
330,10992695,Human,0,0,0
331,37929162,Bot,1,0,0
332,26013935,Human,1,0,0
333,11803153,Human,0,0,0
334,12064158,Human,1,0,0
335,736001,Bot,0,0,0
336,129272,Human,0,0,0
337,63246200,Human,0,0,0
